Regions,Sub_region,market,category,commodity,unit,year,pricetype,currency,price
Central,Nyeri,Karatina (Nyeri),cereals and tubers,"Maize (white, dry)",90 KG,2021,Wholesale,KES,3001.5
Central,Nyeri,Karatina (Nyeri),cereals and tubers,Millet (finger),90 KG,2021,Wholesale,KES,8100
Central,Nyeri,Karatina (Nyeri),cereals and tubers,"Potatoes (Irish, red)",50 KG,2021,Wholesale,KES,1177.11
Central,Nyeri,Karatina (Nyeri),cereals and tubers,Sorghum (red),90 KG,2021,Wholesale,KES,5400
Central,Nyeri,Karatina (Nyeri),pulses and nuts,Beans (kidney),90 KG,2021,Wholesale,KES,6201
Central,Nyeri,Karatina (Nyeri),pulses and nuts,Beans (mung),90 KG,2021,Wholesale,KES,11997
Central,Nyeri,Karatina (Nyeri),pulses and nuts,Beans (yellow),90 KG,2021,Wholesale,KES,8001
Central,Nyeri,Karatina (Nyeri),vegetables and fruits,Cabbage,126 KG,2021,Wholesale,KES,1197.133333
Central,Nyeri,Karatina (Nyeri),vegetables and fruits,Kale,50 KG,2021,Wholesale,KES,639.11
Central,Nyeri,Karatina (Nyeri),vegetables and fruits,Onions (dry),13 KG,2021,Wholesale,KES,660.7766667
Central,Nyeri,Karatina (Nyeri),vegetables and fruits,Tomatoes,64 KG,2021,Wholesale,KES,3281.666667
Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,2015,Retail,KES,36.175
Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,2016,Retail,KES,40.54545455
Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,2017,Retail,KES,54.525
Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,2018,Retail,KES,42.69166667
Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,2019,Retail,KES,45
Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,2020,Retail,KES,43.00833333
Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,2015,Retail,KES,89.95833333
Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,2016,Retail,KES,88.63636364
Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,2017,Retail,KES,114.25
Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,2018,Retail,KES,92.935
Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,2019,Retail,KES,98.00833333
Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,2020,Retail,KES,105.0666667
Coast,Mombasa,Bangladesh (Mombasa),cereals and tubers,Maize,KG,2021,Retail,KES,51.39
Coast,Mombasa,Bangladesh (Mombasa),cereals and tubers,Maize flour,KG,2021,Retail,KES,52.16714286
Coast,Mombasa,Bangladesh (Mombasa),cereals and tubers,Potatoes (Irish),KG,2021,Retail,KES,66.10428571
Coast,Mombasa,Bangladesh (Mombasa),cereals and tubers,Rice,KG,2021,Retail,KES,93.59428571
Coast,Mombasa,Bangladesh (Mombasa),cereals and tubers,Sorghum,KG,2021,Retail,KES,75
Coast,Mombasa,Bangladesh (Mombasa),cereals and tubers,Wheat flour,KG,2021,Retail,KES,71.06
Coast,Mombasa,Bangladesh (Mombasa),"meat, fish and eggs",Meat (beef),KG,2021,Retail,KES,517.8533333
Coast,Mombasa,Bangladesh (Mombasa),"meat, fish and eggs",Meat (goat),KG,2021,Retail,KES,550.7066667
Coast,Mombasa,Bangladesh (Mombasa),milk and dairy,Milk (UHT),500 ML,2021,Retail,KES,51.39142857
