commodity,year,annual_rainfall,price
Bananas,2020,791.5,8.0
Beans,2006,769.28,38.66395833333333
Beans,2007,692.64,39.169374999999995
Beans,2008,661.27,55.56455555555556
Beans,2009,655.41,55.99713333333334
Beans,2010,650.73,52.01016666666667
Beans,2011,626.92,66.39706666666666
Beans,2012,783.07,62.82516666666667
Beans,2013,740.69,70.11168181818182
Beans,2014,608.32,71.76743333333334
Beans,2015,778.31,66.4631111111111
Beans,2016,686.81,60.887443181818185
Beans,2017,1002.64,75.69783333333334
Beans,2018,806.64,59.04149696969697
Beans,2019,1100.16,64.73417857142857
Beans,2020,791.5,78.41
Beans (dry),2006,769.28,2599.3991666666666
Beans (dry),2007,692.64,2549.4965
Beans (dry),2008,661.27,3869.321484848485
Beans (dry),2009,655.41,3965.0166666666664
Beans (dry),2010,650.73,3547.2746666666667
Beans (dry),2011,626.92,4896.5045
Beans (dry),2012,783.07,4954.39806060606
Beans (dry),2013,740.69,5119.943333333334
Beans (dry),2014,608.32,5328.045166666667
Beans (dry),2015,778.31,3628.0182407407406
Beans (dry),2016,686.81,3633.224191919192
Beans (dry),2017,1002.64,4191.795185185185
Beans (dry),2018,806.64,3710.6418518518517
Beans (dry),2019,1100.16,4348.128240740741
Beans (dry),2020,791.5,3749.1672643097645
Bread,2006,769.28,26.166666666666668
Bread,2007,692.64,28.333333333333332
Bread,2008,661.27,33.333333333333336
Bread,2009,655.41,33.916666666666664
Bread,2010,650.73,35.5
Bread,2011,626.92,39.833333333333336
Bread,2012,783.07,42.666666666666664
Bread,2013,740.69,46.166666666666664
Bread,2014,608.32,47.68416666666667
Bread,2015,778.31,49.666666666666664
Bread,2016,686.81,48.09090909090909
Bread,2017,1002.64,46.0
Bread,2018,806.64,44.666666666666664
Bread,2019,1100.16,43.5
Bread,2020,791.5,44.166666666666664
Cooking fat,2020,791.5,104.0
Fuel (diesel),2014,608.32,103.825
Fuel (diesel),2015,778.31,81.38428571428572
Fuel (diesel),2016,686.81,76.61454545454545
Fuel (diesel),2017,1002.64,86.2990909090909
Fuel (diesel),2018,806.64,103.22166666666665
Fuel (diesel),2019,1100.16,101.825
Fuel (diesel),2020,791.5,92.08999999999999
Fuel (kerosene),2014,608.32,83.58500000000001
Fuel (kerosene),2015,778.31,58.237142857142864
Fuel (kerosene),2016,686.81,53.47
Fuel (kerosene),2017,1002.64,64.18363636363637
Fuel (kerosene),2018,806.64,89.42750000000001
Fuel (kerosene),2019,1100.16,101.8975
Fuel (kerosene),2020,791.5,82.05
Fuel (petrol-gasoline),2014,608.32,116.24000000000001
Fuel (petrol-gasoline),2015,778.31,96.72142857142856
Fuel (petrol-gasoline),2016,686.81,89.39090909090909
Fuel (petrol-gasoline),2017,1002.64,97.0090909090909
Fuel (petrol-gasoline),2018,806.64,111.20833333333333
